"Expr1000","MSW05binom","POINT_X","POINT_Y","binomial_tree","Class","Family","Genus","Species","1-1_ActivityCycle","2-1_AgeatEyeOpening_d","3-1_AgeatFirstBirth_d","5-1_AdultBodyMass_g","5-2_BasalMetRateMass_g","5-3_NeonateBodyMass_g","5-4_WeaningBodyMass_g","5-5_AdultBodyMass_g_EXT","5-6_NeonateBodyMass_g_EXT","5-7_WeaningBodyMass_g_EXT","6-1_DietBreadth","6-2_TrophicLevel","7-1_DispersalAge_d","8-1_AdultForearmLen_mm","9-1_GestationLen_d","10-1_PopulationGrpSize","10-2_SocialGrpSize","12-1_HabitatBreadth","12-2_Terrestriality","13-1_AdultHeadBodyLen_mm","13-2_NeonateHeadBodyLen_mm","13-3_WeaningHeadBodyLen_mm","14-1_InterbirthInterval_d","15-1_LitterSize","16-1_LittersPerYear","16-2_LittersPerYear_EXT","17-1_MaxLongevity_m","18-1_BasalMetRate_mLO2hr","21-1_PopulationDensity_n/km2","22-1_HomeRange_km2","22-2_HomeRange_Indiv_km2","23-1_SexualMaturityAge_d","24-1_TeatNumber","25-1_WeaningAge_d","26-1_GR_Area_km2","26-2_GR_MaxLat_dd","26-3_GR_MinLat_dd","26-4_GR_MidRangeLat_dd","26-5_GR_MaxLong_dd","26-6_GR_MinLong_dd","26-7_GR_MidRangeLong_dd","27-1_HuPopDen_Min_n/km2","27-2_HuPopDen_Mean_n/km2","27-3_HuPopDen_5p_n/km2","27-4_HuPopDen_Change","28-1_Precip_Mean_mm","28-2_Temp_Mean_01degC","30-1_AET_Mean_mm","30-2_PET_Mean_mm"
"Canis adustus","Canis adustus",13.00,-15.19,"Canis_adustus","Carnivora","Canidae","Canis","adustus","1",,,"10392.49",,,,,,,"6","2","329.99",,"65",,,"1","1","745.32",,,,"4.5",,,"137",,"0.74","1.01","1.01","249.88","8","52.89","10581413.14","16.72","-28.73","-6","43.55","-17.53","13","0","35.2","1","0.14","90.75","236.51","922.9","1534.4"
"Canis aureus","Canis aureus",45.74,6.54,"Canis_aureus","Carnivora","Canidae","Canis","aureus","2","7.5",,"9658.7",,"211.82",,,,,"6","2",,,"61.24",,,"1","1","827.53",,,"365","3.74",,"1.1","192",,"0.22","2.95","3.13","371.23","8","61.3","25739527.43","47","-4.71","21.14","108.54","-17.05","45.74","0","79.29","0","0.1","44.61","217.23","438.02","1358.98"
"Canis latrans","Canis latrans",-117.60,51.18,"Canis_latrans","Carnivora","Canidae","Canis","latrans","2","11.94","365","11989.1","10450","200.01",,,,,"1","3","255",,"61.74",,,"1","1","872.39",,,"365","5.72",,"1.1","262","3699","0.25","18.88","19.91","372.9","8","43.71","17099094.3","71.39","8.02","39.7","-67.07","-168.12","-117.6","0","27.27","0","0.06","53.03","58.18","503.02","728.37"
"Canis lupus","Canis lupus",97.92,52.42,"Canis_lupus","Carnivora","Canidae","Canis","lupus","2","14.01","547.5","31756.51","33100","412.31",,,,,"1","3","180",,"63.5",,,"1","1","1055",,,"365","4.98","2",,"354","11254.2","0.01","159.86","43.13","679.37","9","44.82","50803439.7","83.27","11.48","47.38","179.65","-171.84","3.9","0","37.87","0","0.04","34.79","4.82","313.33","561.11"
"Bos frontalis","Bos frontalis",100.04,7.52,"Bos_frontalis","Artiodactyla","Bovidae","Bos","frontalis","2",,,"800143.05",,"22977.05",,,,,"3","1",,,"273.75",,"40",,,"2700",,,"403.02","1.22","1",,"314.4",,"0.54",,,"610.97",,"186.67","2294331.63","28.01","2.86","15.43","108.68","73.55","91.12","1","152.67","8","0.09","145.21","229.71","1053.45","1483.02"
"Bos grunniens","Bos grunniens",87.57,34.16,"Bos_grunniens","Artiodactyla","Bovidae","Bos","grunniens",,,,"500000",,,,,,,"2","1",,,"273.75",,"110",,,,,,,"1","1",,"267",,,,,"755.15",,"243.33","1523540.07","38.88","29.66","34.27","99.23","75.91","87.57","0","2.03","0","0.05","30.41","-59.31","246.2","732.74"
"Bos javanicus","Bos javanicus",101.80,16.99,"Bos_javanicus","Artiodactyla","Bovidae","Bos","javanicus","2",,"912.5","635974.34",,,,,,,"2","1",,,"296.78","21","40","1","1","2075",,,,"1.22","1",,"318.96",,"0.75",,,"797.31",,"287.74","1687920.66","25.08","-8.78","8.15","118.35","94.94","106.64","1","139.21","4","0.11","187.69","239.18","1301.28","1592.26"
"Callicebus cupreus","Callicebus cupreus",-68.25,-6.12,"Callicebus_cupreus","Primates","Pitheciidae","Callicebus","cupreus","3",,,"1117.02",,"73.6",,,,,,,,,"129.25",,"2.05","1","2","354.99",,,"395.41","1.01",,"1.05",,,"4.89",,,,,"201.85","690923.14","-2.5","-10.67","-6.58","-61.59","-74.92","-68.25","0","1.07","0","0.05","196.01","255.36","1529.55","1573.18"
"Callicebus donacophilus","Callicebus donacophilus",-64.97,-13.50,"Callicebus_donacophilus","Primates","Pitheciidae","Callicebus","donacophilus","3",,,"897.67",,,,,,,,,,,,,"1","1","2",,,,,"1.02",,,,,,,,,,,"288759.02","-10.45","-21.29","-15.87","-57.52","-67.21","-62.37","0","3.63","0","0.17","108.93","244.32","1238.19","1469.11"
"Callicebus hoffmannsi","Callicebus hoffmannsi",-57.04,-4.16,"Callicebus_hoffmannsi","Primates","Pitheciidae","Callicebus","hoffmannsi","3",,,"1067.61",,,,,,,,,,,,,"1","1","2",,,,,"1.02",,,,,,,,,,,"98076.46","-1.95","-6","-3.97","-54.87","-59.21","-57.04","0","2.6","0","0.1","158.41","258.18","1417.63","1610.4"
