OBJECTID	MSW05binom	POINT_X	POINT_Y	binomial_tree	Class	Family	Genus	Species
1	Abditomys latidens	120.880399	16.846384	Abditomys_latidens	Rodentia	Muridae	Abditomys	latidens
2	Abeomelomys sevia	144.663765	-5.940389	Abeomelomys_sevia	Rodentia	Muridae	Abeomelomys	sevia
3	Abrawayaomys ruschii	-42.046876	-17.38064	Abrawayaomys_ruschii	Rodentia	Cricetidae	Abrawayaomys	ruschii
4	Abrocoma bennettii	-70.553722	-33.905215	Abrocoma_bennettii	Rodentia	Abrocomidae	Abrocoma	bennettii
5	Abrocoma boliviensis	-64.002193	-17.753458	Abrocoma_boliviensis	Rodentia	Abrocomidae	Abrocoma	boliviensis
6	Abrocoma cinerea	-67.439853	-20.246636	Abrocoma_cinerea	Rodentia	Abrocomidae	Abrocoma	cinerea
7	Abrothrix andinus	-69.844337	-31.294681	Abrothrix_andinus	Rodentia	Cricetidae	Abrothrix	andinus
8	Abrothrix hershkovitzi	-70.620067	-54.109162	Abrothrix_hershkovitzi	Rodentia	Cricetidae	Abrothrix	hershkovitzi
9	Abrothrix illuteus	-65.731269	-25.740568	Abrothrix_illuteus	Rodentia	Cricetidae	Abrothrix	illuteus
10	Abrothrix jelskii	-68.914516	-16.11367	Abrothrix_jelskii	Rodentia	Cricetidae	Abrothrix	jelskii
11	Abrothrix lanosus	-68.787429	-53.859491	Abrothrix_lanosus	Rodentia	Cricetidae	Abrothrix	lanosus
12	Abrothrix longipilis	-71.363868	-53.350469	Abrothrix_longipilis	Rodentia	Cricetidae	Abrothrix	longipilis
13	Abrothrix markhami	-74.929523	-49.7818	Abrothrix_markhami	Rodentia	Cricetidae	Abrothrix	markhami
14	Abrothrix olivaceus	-69.817493	-45.511472	Abrothrix_olivaceus	Rodentia	Cricetidae	Abrothrix	olivaceus
15	Abrothrix sanborni	-72.456897	-42.745551	Abrothrix_sanborni	Rodentia	Cricetidae	Abrothrix	sanborni
16	Acerodon celebensis	121.998725	-3.754998	Acerodon_celebensis	Chiroptera	Pteropodidae	Acerodon	celebensis
17	Acerodon humilis	126.670825	3.885762	Acerodon_humilis	Chiroptera	Pteropodidae	Acerodon	humilis
18	Acerodon jubatus	121.972572	13.909511	Acerodon_jubatus	Chiroptera	Pteropodidae	Acerodon	jubatus
19	Acerodon leucotis	118.443725	9.50212	Acerodon_leucotis	Chiroptera	Pteropodidae	Acerodon	leucotis
20	Acerodon mackloti	125.376808	-8.928743	Acerodon_mackloti	Chiroptera	Pteropodidae	Acerodon	mackloti
21	Acinonyx jubatus	31.610432	-14.704642	Acinonyx_jubatus	Carnivora	Felidae	Acinonyx	jubatus
22	Acomys cilicicus	34.623582	36.904277	Acomys_cilicicus	Rodentia	Muridae	Acomys	cilicicus
23	Acomys dimidiatus	45.556451	21.45612	Acomys_dimidiatus	Rodentia	Muridae	Acomys	dimidiatus
24	Acomys ignitus	38.543423	-3.187787	Acomys_ignitus	Rodentia	Muridae	Acomys	ignitus
25	Acomys kempi	41.253674	0.833224	Acomys_kempi	Rodentia	Muridae	Acomys	kempi
26	Acomys louisae	46.652694	8.423839	Acomys_louisae	Rodentia	Muridae	Acomys	louisae
27	Acomys minous	24.918764	35.16947	Acomys_minous	Rodentia	Muridae	Acomys	minous
28	Acomys mullah	43.965269	9.196859	Acomys_mullah	Rodentia	Muridae	Acomys	mullah
29	Acomys nesiotes	33.435503	35.045158	Acomys_nesiotes	Rodentia	Muridae	Acomys	nesiotes
30	Acomys percivali	37.307784	2.08711	Acomys_percivali	Rodentia	Muridae	Acomys	percivali
31	Acomys russatus	39.507874	20.698634	Acomys_russatus	Rodentia	Muridae	Acomys	russatus
32	Acomys spinosissimus	32.387365	-15.663039	Acomys_spinosissimus	Rodentia	Muridae	Acomys	spinosissimus
33	Acomys subspinosus	21.316264	-33.629269	Acomys_subspinosus	Rodentia	Muridae	Acomys	subspinosus
34	Acomys wilsoni	41.214899	1.254111	Acomys_wilsoni	Rodentia	Muridae	Acomys	wilsoni
35	Aconaemys sagei	-72.069717	-39.364016	Aconaemys_sagei	Rodentia	Octodontidae	Aconaemys	sagei
36	Acrobates pygmaeus	145.864875	-36.176791	Acrobates_pygmaeus	Diprotodontia	Acrobatidae	Acrobates	pygmaeus
37	Addax nasomaculatus	27.677584	18.466759	Addax_nasomaculatus	Artiodactyla	Bovidae	Addax	nasomaculatus
38	Aepeomys lugens	-73.056842	5.41151	Aepeomys_lugens	Rodentia	Cricetidae	Aepeomys	lugens
39	Aepyceros melampus	30.390933	-12.546153	Aepyceros_melampus	Artiodactyla	Bovidae	Aepyceros	melampus
40	Aepyprymnus rufescens	148.795391	-23.843091	Aepyprymnus_rufescens	Diprotodontia	Potoroidae	Aepyprymnus	rufescens
41	Aeretes melanopterus	104.804555	33.376479	Aeretes_melanopterus	Rodentia	Sciuridae	Aeretes	melanopterus
42	Aeromys tephromelas	102.319622	3.6463	Aeromys_tephromelas	Rodentia	Sciuridae	Aeromys	tephromelas
43	Aeromys thomasi	111.034891	-0.123765	Aeromys_thomasi	Rodentia	Sciuridae	Aeromys	thomasi
44	Aethalops aequalis	116.087217	4.983494	Aethalops_aequalis	Chiroptera	Pteropodidae	Aethalops	aequalis
45	Aethalops alecto	102.155137	-2.447771	Aethalops_alecto	Chiroptera	Pteropodidae	Aethalops	alecto
46	Aethomys bocagei	14.426969	-10.347631	Aethomys_bocagei	Rodentia	Muridae	Aethomys	bocagei
47	Aethomys chrysophilus	26.279312	-18.302512	Aethomys_chrysophilus	Rodentia	Muridae	Aethomys	chrysophilus
48	Aethomys hindei	26.099999	6.053299	Aethomys_hindei	Rodentia	Muridae	Aethomys	hindei
49	Aethomys kaiseri	26.497005	-10.412598	Aethomys_kaiseri	Rodentia	Muridae	Aethomys	kaiseri
50	Aethomys nyikae	25.947305	-10.574796	Aethomys_nyikae	Rodentia	Muridae	Aethomys	nyikae
51	Aethomys silindensis	33.093412	-19.463473	Aethomys_silindensis	Rodentia	Muridae	Aethomys	silindensis
52	Aethomys stannarius	10.71305	10.157447	Aethomys_stannarius	Rodentia	Muridae	Aethomys	stannarius
53	Aethomys thomasi	15.715298	-12.229266	Aethomys_thomasi	Rodentia	Muridae	Aethomys	thomasi
54	Ailuropoda melanoleuca	104.366338	32.331312	Ailuropoda_melanoleuca	Carnivora	Ursidae	Ailuropoda	melanoleuca
55	Ailurops ursinus	121.998725	-3.754998	Ailurops_ursinus	Diprotodontia	Phalangeridae	Ailurops	ursinus
56	Ailurus fulgens	94.389447	29.295992	Ailurus_fulgens	Carnivora	Ailuridae	Ailurus	fulgens
57	Akodon aerosus	-76.003562	-7.215371	Akodon_aerosus	Rodentia	Cricetidae	Akodon	aerosus
58	Akodon affinis	-76.419517	4.159246	Akodon_affinis	Rodentia	Cricetidae	Akodon	affinis
59	Akodon albiventer	-67.769577	-20.155245	Akodon_albiventer	Rodentia	Cricetidae	Akodon	albiventer
